t,phi,theta,phi_cmd,theta_cmd
0.008000,-0.000431,-0.000399,0.000000,0.000000
0.016000,-0.000431,-0.000399,0.000000,0.000000
0.024000,-0.000381,-0.000411,0.000000,0.000000
0.032000,-0.000381,-0.000411,0.000000,0.000000
0.040000,-0.000381,-0.000411,0.000000,0.000000
0.048000,-0.000348,-0.000495,0.000000,0.000000
0.056000,-0.000348,-0.000495,0.000000,0.000000
0.064000,-0.000343,-0.000507,0.000000,0.000000
0.072000,-0.000343,-0.000507,0.000000,0.000000
0.080000,-0.000343,-0.000507,0.000000,0.000000
0.092000,-0.000352,-0.000541,0.000000,0.000000
0.100000,-0.000352,-0.000541,0.000000,0.000000
0.108000,-0.000334,-0.000604,0.000000,0.000000
0.116000,-0.000334,-0.000604,0.000000,0.000000
0.124000,-0.000311,-0.000682,0.000000,0.000000
0.132000,-0.000311,-0.000682,0.000000,0.000000
0.140000,-0.000311,-0.000682,0.000000,0.000000
0.148000,-0.000317,-0.000727,0.000000,0.000000
0.156000,-0.000317,-0.000727,0.000000,0.000000
0.164000,-0.000311,-0.000733,0.000000,0.000000
0.172000,-0.000311,-0.000733,0.000000,0.000000
0.180000,-0.000311,-0.000733,0.000000,0.000000
0.192000,-0.000252,-0.000760,0.000000,0.000000
0.200000,-0.000252,-0.000760,0.000000,0.000000
0.208000,-0.000239,-0.000799,0.000000,0.000000
0.216000,-0.000239,-0.000799,0.000000,0.000000
0.224000,-0.000228,-0.000834,0.000000,0.000000
0.232000,-0.000228,-0.000834,0.000000,0.000000
0.240000,-0.000228,-0.000834,0.000000,0.000000
0.248000,-0.000218,-0.000847,0.000000,0.000000
0.256000,-0.000218,-0.000847,0.000000,0.000000
0.264000,-0.000227,-0.000844,0.000000,0.000000
0.272000,-0.000227,-0.000844,0.000000,0.000000
0.280000,-0.000227,-0.000844,0.000000,0.000000
0.292000,-0.000215,-0.000872,0.000000,0.000000
0.300000,-0.000215,-0.000872,0.000000,0.000000
0.308000,-0.000237,-0.000906,0.000000,0.000000
0.316000,-0.000237,-0.000906,0.000000,0.000000
0.324000,-0.000237,-0.000906,0.000000,0.000000
0.332000,-0.000272,-0.000894,0.000000,0.000000
0.340000,-0.000272,-0.000894,0.000000,0.000000
0.348000,-0.000262,-0.000864,0.000000,0.000000
0.356000,-0.000262,-0.000864,0.000000,0.000000
0.364000,-0.000270,-0.000857,0.000000,0.000000
0.372000,-0.000270,-0.000857,0.000000,0.000000
0.380000,-0.000270,-0.000857,0.000000,0.000000
0.392000,-0.000211,-0.000783,0.000000,0.000000
0.400000,-0.000211,-0.000783,0.000000,0.000000
0.408000,-0.000149,-0.000766,0.000000,0.000000
0.416000,-0.000149,-0.000766,0.000000,0.000000
0.424000,-0.000150,-0.000770,0.000000,0.000000
0.432000,-0.000150,-0.000770,0.000000,0.000000
0.440000,-0.000150,-0.000770,0.000000,0.000000
0.448000,-0.000123,-0.000727,0.000000,0.000000
0.456000,-0.000123,-0.000727,0.000000,0.000000
0.464000,-0.000076,-0.000698,0.000000,0.000000
0.472000,-0.000076,-0.000698,0.000000,0.000000
0.480000,-0.000076,-0.000698,0.000000,0.000000
0.492000,-0.000093,-0.000689,0.000000,0.000000
0.500000,-0.000093,-0.000689,0.000000,0.000000
0.508000,-0.000100,-0.000682,0.000000,0.000000
0.516000,-0.000100,-0.000682,0.000000,0.000000
0.524000,-0.000085,-0.000686,0.000000,0.000000
0.532000,-0.000085,-0.000686,0.000000,0.000000
0.540000,-0.000085,-0.000686,0.000000,0.000000
0.548000,-0.000076,-0.000617,0.000000,0.000000
0.556000,-0.000076,-0.000617,0.000000,0.000000
0.564000,-0.000109,-0.000548,0.000000,0.000000
0.572000,-0.000109,-0.000548,0.000000,0.000000
0.580000,-0.000109,-0.000548,0.000000,0.000000
0.592000,-0.000092,-0.000465,0.000000,0.000000
0.600000,-0.000092,-0.000465,0.000000,0.000000
0.608000,-0.000059,-0.000342,0.000000,0.000000
0.616000,-0.000059,-0.000342,0.000000,0.000000
0.624000,-0.000098,-0.000205,0.000000,0.000000
0.632000,-0.000098,-0.000205,0.000000,0.000000
0.640000,-0.000098,-0.000205,0.000000,0.000000
0.648000,-0.000122,-0.000100,0.000000,0.000000
0.656000,-0.000122,-0.000100,0.000000,0.000000
0.664000,-0.000141,-0.000049,0.000000,0.000000
0.672000,-0.000141,-0.000049,0.000000,0.000000
0.680000,-0.000141,-0.000049,0.000000,0.000000
0.692000,-0.000119,0.000004,0.000000,0.000000
0.700000,-0.000119,0.000004,0.000000,0.000000
0.708000,-0.000125,0.000156,0.000000,0.000000
0.716000,-0.000125,0.000156,0.000000,0.000000
0.724000,-0.000099,0.000211,0.000000,0.000000
0.732000,-0.000099,0.000211,0.000000,0.000000
0.740000,-0.000099,0.000211,0.000000,0.000000
0.748000,-0.000093,0.000297,0.000000,0.000000
0.756000,-0.000093,0.000297,0.000000,0.000000
0.764000,-0.000096,0.000357,0.000000,0.000000
0.772000,-0.000096,0.000357,0.000000,0.000000
0.780000,-0.000096,0.000357,0.000000,0.000000
0.792000,-0.000114,0.000382,0.000000,0.000000
0.800000,-0.000114,0.000382,0.000000,0.000000
0.808000,-0.000130,0.000362,0.000000,0.000000
